codigo_municipio,nome_municipio,ano_referencia,populacao,rad_pop,pib,estado,lat,lon
3553005,Taguaí (SP),2022,12669,892.4417172152654,391498,SP,-23.47445996825316,-49.39736296700195
3554201,Tejupá (SP),2022,4127,693.1072048903469,124784,SP,-23.34249356690006,-49.30656027327566
3554607,Timburi (SP),2022,2464,609.8893570146935,62755,SP,-23.195805606964502,-49.61039828457042
3502309,Anhembi (SP),2022,5674,747.1267867326513,171607,SP,-22.80002016647826,-48.1747034587517
3503109,Arandu (SP),2022,6885,780.9434367697293,188931,SP,-23.177681267308103,-49.064015362756486
3503604,Areiópolis (SP),2022,10130,850.6846225858153,174095,SP,-22.631834097869696,-48.65286001900731
3504503,Avaré (SP),2022,92805,1308.3369566921297,3871415,SP,-23.075118111819467,-48.89404098727185
3506904,Bofete (SP),2022,10460,856.608323817574,237971,SP,-23.12890518506306,-48.28580948305388
3507506,Botucatu (SP),2022,145155,1412.6647508863211,6709749,SP,-22.86339642670458,-48.468196696750226
3511409,Cerqueira César (SP),2022,21469,994.879634005602,1220434,SP,-23.05926080986216,-49.143754736480346
3512308,Conchas (SP),2022,15232,927.5912269157517,471793,SP,-22.965604054630465,-48.04707547156133
3512605,Coronel Macedo (SP),2022,4280,699.1816550323795,143742,SP,-23.63012739437819,-49.30689170478318
3521804,Itaí (SP),2022,25180,1026.9401001230826,997077,SP,-23.471414323284918,-49.05421984071309
3523503,Itatinga (SP),2022,19070,971.3820693915534,432050,SP,-23.153620343890566,-48.629380267715156
3535804,Paranapanema (SP),2022,19395,974.7159892282694,1134950,SP,-23.43845871278941,-48.79525701922114
3536109,Pardinho (SP),2022,7153,787.7072160636637,440221,SP,-23.102194507120597,-48.40178732326598
3500550,Águas de Santa Bárbara (SP),2022,7177,788.3019049281564,254817,SP,-22.85792842748538,-49.26105409767122
3550100,São Manuel (SP),2022,37289,1108.0622657133288,1482433,SP,-22.68222165913263,-48.54039767130264
3553807,Taquarituba (SP),2022,24350,1020.1580007835964,1227811,SP,-23.530168257834077,-49.23460440387532
3510401,Capivari (SP),2022,50068,1170.9701377368165,3335183,SP,-22.980697130440074,-47.478023719491
3511706,Charqueada (SP),2022,15535,931.3892158516171,610775,SP,-22.530148203803524,-47.74620375909062
3521408,Iracemápolis (SP),2022,21967,999.4593943262166,2118044,SP,-22.593686757522917,-47.52421860733674
3530904,Mombuca (SP),2022,3722,676.015542936231,147772,SP,-22.94272939181062,-47.60198762881385
3538709,Piracicaba (SP),2022,423323,1678.551053855698,42063297,SP,-22.726463226786084,-47.78391797135151
3542107,Rafard (SP),2022,8965,828.2971879963936,543863,SP,-23.045198289544246,-47.58377967016873
3544004,Rio das Pedras (SP),2022,31328,1071.6944333009774,2124686,SP,-22.85033502517437,-47.5983663924202
3545803,Santa Bárbara d'Oeste (SP),2022,183347,1468.7345281071543,9437421,SP,-22.800610267067636,-47.42807338195087
3546702,Santa Gertrudes (SP),2022,23611,1013.9418548315655,3508437,SP,-22.475082058810354,-47.521322954534895
3507001,Boituva (SP),2022,61081,1214.3943313290542,3980440,SP,-23.28759077207983,-47.67494288655623
3511508,Cerquilho (SP),2022,44695,1146.5306005240234,2566786,SP,-23.187121253642676,-47.75713352855564
3511607,Cesário Lange (SP),2022,19048,971.1545480063506,1032978,SP,-23.216506989684497,-47.903877748643445
3526407,Laranjal Paulista (SP),2022,26261,1035.4772434299257,1522678,SP,-23.012137217383575,-47.86569305015695
3537503,Pereiras (SP),2022,8737,823.6147231319768,334838,SP,-23.120458480127397,-47.97881256589772
