Regiao_i,Hub_k,O_i,N_col_i,R_col_i,d_ik_km,L_acesso_col_ik_km,L_interno_col_i_km,Dist_col_ik_km,TC_col_ik_reais,C_col_ik_reais_por_pacote
Ribeirão Preto,Sorocaba,2967.1470000000004,2967.1470000000004,20,297.7151239612954,11908.604958451815,10043.706415478433,21952.31137393025,54880.778434825625,18.496144085488726
Ribeirão Preto,São José dos Campos,2967.1470000000004,2967.1470000000004,20,343.51461995384216,13740.584798153686,10043.706415478433,23784.291213632117,59460.7280340803,20.039697404301265
Ribeirão Preto,São José do Rio Preto,2967.1470000000004,2967.1470000000004,20,176.63997391191918,7065.598956476768,10043.706415478433,17109.3053719552,42773.263429888,14.415619930488107
Ribeirão Preto,Bauru,2967.1470000000004,2967.1470000000004,20,189.45865762927292,7578.346305170917,10043.706415478433,17622.05272064935,44055.13180162337,14.84764044438087
Ribeirão Preto,Araraquara,2967.1470000000004,2967.1470000000004,20,102.91351831187956,4116.540732475182,10043.706415478433,14160.247147953614,35400.61786988404,11.930860813395505
Ribeirão Preto,Marília,2967.1470000000004,2967.1470000000004,20,283.47245407560376,11338.89816302415,10043.706415478433,21382.604578502585,53456.51144625647,18.016131808183573
Ribeirão Preto,Presidente Prudente,2967.1470000000004,2967.1470000000004,20,387.8195883064899,15512.783532259597,10043.706415478433,25556.48994773803,63891.22486934508,21.53288154221718
Ribeirão Preto,Araçatuba,2967.1470000000004,2967.1470000000004,20,280.98378246511254,11239.351298604503,10043.706415478433,21283.057714082934,53207.64428520734,17.93225758117388
São José dos Campos,São Paulo,8933.285558,8933.285558,60,117.40520556315826,14088.624667578992,16373.128423254506,30461.753090833496,76154.38272708374,8.5247899255706
São José dos Campos,Campinas,8933.285558,8933.285558,60,163.44064371885884,19612.87724626306,16373.128423254506,35986.005669517566,89965.01417379391,10.070764400140305
São José dos Campos,Sorocaba,8933.285558,8933.285558,60,236.2385421409789,28348.625056917466,16373.128423254506,44721.753480171974,111804.38370042993,12.515483018485407
São José dos Campos,Ribeirão Preto,8933.285558,8933.285558,60,343.51461995384216,41221.75439446106,16373.128423254506,57594.88281771557,143987.20704428892,16.118057136922538
São José dos Campos,São José do Rio Preto,8933.285558,8933.285558,60,492.42174857907224,59090.60982948867,16373.128423254506,75463.73825274318,188659.34563185793,21.118696408725942
São José dos Campos,Bauru,8933.285558,8933.285558,60,350.6285666647258,42075.4279997671,16373.128423254506,58448.556423021604,146121.39105755402,16.356959610084147
São José dos Campos,Araraquara,8933.285558,8933.285558,60,297.0853374296483,35650.24049155779,16373.128423254506,52023.3689148123,130058.42228703076,14.558856474766992
São José dos Campos,Marília,8933.285558,8933.285558,60,466.1049818207681,55932.59781849217,16373.128423254506,72305.72624174667,180764.31560436668,20.234919664298353
São José dos Campos,Presidente Prudente,8933.285558,8933.285558,60,619.9648896815082,74395.78676178098,16373.128423254506,90768.91518503548,226922.2879625887,25.40188450142777
São José dos Campos,Araçatuba,8933.285558,8933.285558,60,563.2234317485694,67586.81180982833,16373.128423254506,83959.94023308283,209899.8505827071,23.496377589176703
São José do Rio Preto,São Paulo,1225.189183,1225.189183,9,441.9153998310837,7954.477196959506,5417.2293042019055,13371.70650116141,33429.26625290353,27.284983181983847
São José do Rio Preto,Campinas,1225.189183,1225.189183,9,340.018772650455,6120.33790770819,5417.2293042019055,11537.567211910096,28843.91802977524,23.542419758512708
São José do Rio Preto,Sorocaba,1225.189183,1225.189183,9,366.01168589980415,6588.210346196474,5417.2293042019055,12005.43965039838,30013.599125995952,24.497114031405836
São José do Rio Preto,Ribeirão Preto,1225.189183,1225.189183,9,176.63997391191918,3179.5195304145454,5417.2293042019055,8596.74883461645,21491.872086541123,17.54167632619486
São José do Rio Preto,São José dos Campos,1225.189183,1225.189183,9,492.42174857907224,8863.5914744233,5417.2293042019055,14280.820778625206,35702.05194656301,29.140031957467105
São José do Rio Preto,Bauru,1225.189183,1225.189183,9,194.2371369680524,3496.2684654249433,5417.2293042019055,8913.497769626849,22283.74442406712,18.188002908663552
São José do Rio Preto,Araraquara,1225.189183,1225.189183,9,196.54403585431328,3537.792645377639,5417.2293042019055,8955.021949579545,22387.554873948862,18.272733047749135
São José do Rio Preto,Marília,1225.189183,1225.189183,9,200.74943927684444,3613.4899069832,5417.2293042019055,9030.719211185105,22576.798027962763,18.427193401007006
São José do Rio Preto,Presidente Prudente,1225.189183,1225.189183,9,238.4117000592519,4291.410601066535,5417.2293042019055,9708.63990526844,24271.5997631711,19.810491391818875
